product_name,product_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
perfumaria,1.0,225.0,16.0,10.0,14.0
artes,1.0,1000.0,30.0,18.0,20.0
esporte_lazer,1.0,154.0,18.0,9.0,15.0
bebes,1.0,371.0,26.0,4.0,26.0
utilidades_domesticas,4.0,625.0,20.0,17.0,13.0
instrumentos_musicais,1.0,200.0,38.0,5.0,11.0
cool_stuff,4.0,18350.0,70.0,24.0,44.0
moveis_decoracao,2.0,900.0,40.0,8.0,40.0
eletrodomesticos,1.0,400.0,27.0,13.0,17.0
brinquedos,1.0,600.0,17.0,10.0,12.0
cama_mesa_banho,1.0,1100.0,16.0,10.0,16.0
bebes,4.0,7150.0,50.0,19.0,45.0
instrumentos_musicais,3.0,250.0,17.0,7.0,17.0
moveis_decoracao,2.0,600.0,68.0,11.0,13.0
construcao_ferramentas_seguranca,4.0,200.0,17.0,7.0,17.0
esporte_lazer,1.0,800.0,16.0,2.0,11.0
perfumaria,2.0,400.0,27.0,5.0,20.0
informatica_acessorios,1.0,900.0,40.0,15.0,20.0
moveis_decoracao,2.0,1700.0,100.0,7.0,15.0
cama_mesa_banho,1.0,500.0,16.0,10.0,16.0
moveis_decoracao,4.0,2550.0,29.0,24.0,45.0
cama_mesa_banho,2.0,800.0,36.0,8.0,16.0
beleza_saude,3.0,75.0,21.0,7.0,13.0
bebes,1.0,500.0,20.0,13.0,13.0
moveis_decoracao,1.0,1800.0,40.0,10.0,30.0
utilidades_domesticas,1.0,900.0,50.0,5.0,50.0
malas_acessorios,5.0,3600.0,35.0,25.0,50.0
informatica_acessorios,2.0,300.0,42.0,2.0,30.0
informatica_acessorios,2.0,740.0,23.0,13.0,13.0
esporte_lazer,2.0,3600.0,62.0,23.0,23.0
cama_mesa_banho,1.0,650.0,16.0,10.0,16.0
ferramentas_jardim,9.0,2150.0,70.0,8.0,34.0
moveis_decoracao,1.0,800.0,40.0,10.0,34.0
moveis_escritorio,1.0,8950.0,52.0,51.0,17.0
esporte_lazer,4.0,1388.0,34.0,9.0,31.0
bebes,9.0,7950.0,33.0,30.0,44.0
automotivo,2.0,6000.0,87.0,3.0,42.0
eletronicos,1.0,263.0,18.0,12.0,16.0
utilidades_domesticas,1.0,3900.0,19.0,20.0,15.0
moveis_decoracao,1.0,600.0,25.0,25.0,25.0
moveis_decoracao,2.0,2050.0,49.0,13.0,41.0
brinquedos,2.0,725.0,22.0,17.0,15.0
cama_mesa_banho,4.0,6350.0,45.0,15.0,35.0
bebes,4.0,600.0,70.0,11.0,11.0
cool_stuff,2.0,11750.0,18.0,40.0,79.0
brinquedos,3.0,2550.0,22.0,32.0,38.0
cool_stuff,3.0,15350.0,47.0,40.0,47.0
moveis_decoracao,2.0,1300.0,25.0,16.0,25.0
moveis_decoracao,2.0,850.0,69.0,11.0,11.0
beleza_saude,1.0,1300.0,19.0,28.0,17.0
esporte_lazer,5.0,4800.0,60.0,30.0,15.0
cool_stuff,2.0,1300.0,36.0,16.0,24.0
automotivo,1.0,220.0,18.0,14.0,17.0
bebes,4.0,5700.0,41.0,17.0,49.0
malas_acessorios,2.0,450.0,20.0,40.0,30.0
fashion_calcados,2.0,2000.0,32.0,12.0,37.0
telefonia,2.0,100.0,19.0,3.0,11.0
cool_stuff,1.0,1100.0,30.0,20.0,23.0
