Max_Weight_kg,Max_Volume_m,current_weight,current_volume,num_items_on_aircarft,item_weight,item_volume,weight_left,volume_left,weight_ratio,volume_ratio,label
25900.0,172.5,27599.034769801085,124.72283571694155,13,18.35,739.2,-1699.0347698010846,47.777164283058454,-0.010800249845945523,15.471826250481142,0
23500.0,158.4,27027.381116456603,165.05868132176522,3,0.6,40.0,-3527.381116456603,-6.658681321765215,-0.00017009786591272056,-6.007196331268838,0
58000.0,438.0,31305.332683645876,197.0966881678449,8,0.3,37.95,26694.667316354124,240.9033118321551,1.1238199616182175e-05,0.1575320802102915,1
20500.0,136.7,22373.012894849297,58.74738503744125,7,0.3,88.4,-1873.0128948492966,77.95261496255874,-0.00016016974628693513,1.1340222378484288,0
140000.0,858.0,115152.67537950152,731.6500479542045,13,0.85,101.15,24847.324620498475,126.34995204579548,3.42089143579088e-05,0.8005543141226039,1
45000.0,300.0,9576.960056158363,102.4311991032197,6,1.1,52.8,35423.039943841635,197.56880089678032,3.1053235456720984e-05,0.2672486723262376,1
20500.0,136.7,8448.954929039337,113.06748468598103,4,0.6,41.04,12051.045070960663,23.63251531401896,4.9788213090002334e-05,1.7365903594301046,1
39000.0,265.0,42536.165452256115,71.94490367233593,4,0.55,45.76,-3536.165452256115,193.05509632766407,-0.000155535708829639,0.23703077843281978,1
26300.0,175.0,31104.150778846644,122.52703222235507,2,0.25,8.36,-4804.150778846644,52.472967777644925,-5.2038333424675956e-05,0.15932012605243737,1
24400.0,162.8,4973.265237217777,193.53676533466458,6,0.65,25.6,19426.734762782224,-30.736765334664568,3.3459045377600575e-05,-0.8328788196852789,1
15000.0,90.0,8283.609386432167,102.66613074729428,11,7.8,217.8,6716.3906135678335,-12.666130747294275,0.0011613380530730033,-17.195465729894817,1
24020.0,160.1,8266.12713362028,42.3689636676909,12,0.1,31.36,15753.87286637972,117.73103633230909,6.347645486403663e-06,0.26636986057876033,1
15000.0,90.0,15246.648869062125,81.74942675767774,6,0.6,67.5,-246.6488690621245,8.250573242322261,-0.0024326079609206857,8.181248724937358,0
18000.0,90.0,14524.003921451935,53.53316802077745,8,1.0,297.85,3475.9960785480653,36.46683197922255,0.00028768732101965315,8.167695839386544,1
140000.0,858.0,116351.02514628292,101.78751821381104,14,22.1,3.52,23648.97485371708,756.212481786189,0.0009345013953360384,0.004654776375855253,1
91190.0,607.9,93325.87950849363,652.4519072592781,8,1.1,75.0,-2135.8795084936282,-44.551907259278096,-0.0005150103253206486,-1.6834296508778672,0
91190.0,607.9,8678.924698883618,399.4213173922205,14,0.3,28.16,82511.07530111638,208.4786826077795,3.6358755343030313e-06,0.13507376156009648,1
24400.0,162.8,208.91745803201212,149.88977066694704,13,0.1,40.0,24191.08254196799,12.910229333052968,4.133754652045062e-06,3.098318075518095,1
24400.0,162.8,25636.554228694673,189.60642045379066,12,1.35,146.16,-1236.554228694673,-26.80642045379065,-0.0010917434672612992,-5.452425313718344,0
24020.0,160.1,13693.605080881547,117.47549197157097,7,0.28,270.0,10326.394919118453,42.62450802842902,2.7114980800752503e-05,6.334383812372353,1
58000.0,438.0,66341.84489906064,87.29833352783506,11,0.9,66.5,-8341.844899060641,350.70166647216496,-0.0001078898026753335,0.18961985689810865,0
45000.0,300.0,48811.13574913101,301.6439067570093,13,0.2,22.68,-3811.135749131012,-1.6439067570092902,-5.247779486681375e-05,-13.796411323031718,0
39000.0,265.0,16085.475095069609,294.7927407536731,4,1.8,33.6,22914.52490493039,-29.792740753673115,7.855279598374528e-05,-1.1277915451148628,1
23000.0,125.0,7823.269921621891,27.624454770636696,2,1.367,231.0,15176.73007837811,97.3755452293633,9.007210333518793e-05,2.3722588364833497,1
23500.0,158.4,26939.007157582026,117.60918609404871,2,0.1,24.0,-3439.0071575820257,40.790813905951296,-2.9078159901065284e-05,0.5883677503216159,0
45000.0,300.0,43427.26314149842,40.07290424732111,8,1.15,175.0,1572.7368585015793,259.9270957526789,0.0007312094156453164,0.6732657048315083,1
140000.0,858.0,82819.99135242308,571.3238736014865,14,0.375,185.13,57180.00864757692,286.6761263985135,6.558236153910286e-06,0.6457810131593119,1
20400.0,136.0,2291.7094690621498,111.95251226075003,9,0.15,39.52,18108.29053093785,24.047487739249974,8.283498640329568e-06,1.6434148458710374,1
47000.0,426.0,36514.94658655305,394.7947364667013,5,0.25,27.04,10485.053413446949,31.205263533298705,2.3843464607966105e-05,0.866520454301741,1
24400.0,162.8,10408.652096499576,28.942991853410636,10,0.3,22.05,13991.347903500424,133.85700814658938,2.1441822621214552e-05,0.16472801940354595,1
23500.0,158.4,10789.113362139842,165.25804324026555,3,0.15,15.0,12710.886637860158,-6.858043240265545,1.1800907699185582e-05,-2.187213125041819,1
23000.0,125.0,17269.384942692403,26.948212122202754,13,0.1,28.16,5730.615057307597,98.05178787779724,1.7450133883104104e-05,0.28719516820948615,1
17120.0,114.1,13266.783053862655,79.9245751603105,13,2.7,457.56,3853.216946137345,34.1754248396895,0.000700713205885254,13.388567625940581,1
24400.0,162.8,23617.339078391295,179.89336524231013,4,0.15,17.28,782.6609216087054,-17.093365242310114,0.00019165387675167364,-1.0109186088264546,1
140000.0,858.0,29894.960219623023,51.543773300343595,5,2.85,222.87,110105.03978037697,806.4562266996564,2.5884373736741938e-05,0.27635721858794066,1
