length,width,height,bkwt,days_until_departure,bkvol,is_dmv,rcsvol,product_type_arm,product_type_avi,product_type_dgr,product_type_gen,product_type_hum,product_type_per,product_type_val,product_type_vun
48.0,35.0,30.0,8900.0,2,50400.0,0,52118.645364434575,0,0,0,0,1,0,0,0
17.0,35.0,35.0,550.0,1,20825.0,0,23257.752846263833,0,0,0,0,0,1,0,0
16.0,11.0,2.0,350.0,1,352.0,0,286.3479650035879,0,1,0,0,0,0,0,0
105.0,43.0,15.0,16400.0,1,67725.0,0,66233.71891597811,0,0,0,0,0,0,1,0
21.0,17.0,8.0,200.0,3,2856.0,0,3150.5974912573442,0,0,0,1,0,0,0,0
25.0,11.0,11.0,3200.0,2,3025.0,0,2910.3993175458763,0,0,0,0,1,0,0,0
30.0,30.0,15.0,1450.0,1,13500.0,0,10880.535991997225,1,0,0,0,0,0,0,0
26.0,16.0,14.0,1800.0,3,5824.0,0,5774.844449876326,0,0,0,0,0,1,0,0
16.0,11.0,9.0,800.0,2,1584.0,0,1528.408048581025,0,0,0,0,0,1,0,0
25.0,20.0,15.0,900.0,3,7500.0,0,7002.73806049328,0,0,0,0,0,0,0,1
16.0,14.0,7.0,125.0,3,1568.0,0,1564.198922504619,0,0,0,0,0,0,1,0
24.0,18.0,13.0,850.0,1,5616.0,0,5783.817446895973,0,0,0,0,1,0,0,0
52.0,42.0,4.0,650.0,1,8736.0,0,8284.15003438021,0,0,0,0,0,0,0,1
22.0,16.0,7.0,100.0,1,2464.0,0,1985.0404944716327,0,0,0,0,1,0,0,0
36.0,25.0,22.0,1000.0,1,19800.0,0,22441.397617798346,0,0,0,0,0,0,0,1
41.0,25.0,23.0,1000.0,1,23575.0,0,26126.03561193528,0,0,0,0,1,0,0,0
16.0,16.0,10.0,300.0,2,2560.0,0,3002.7743289719137,0,0,1,0,0,0,0,0
37.0,30.0,5.0,350.0,3,5550.0,0,6168.666897353972,0,0,1,0,0,0,0,0
22.0,33.0,12.0,750.0,2,8712.0,0,8670.568637497252,0,0,0,0,0,1,0,0
52.0,57.0,23.0,817.0,2,68172.0,0,72668.88160614994,0,1,0,0,0,0,0,0
55.0,45.0,15.0,500.0,3,37125.0,0,36042.17867974919,0,0,0,0,1,0,0,0
17.0,23.0,18.0,617.0,2,7038.0,0,8003.613671167418,0,0,0,0,1,0,0,0
18.0,14.0,10.0,300.0,2,2520.0,0,2819.663920992882,0,0,0,1,0,0,0,0
40.0,30.0,4.0,400.0,2,4800.0,0,4670.167013806212,0,0,1,0,0,0,0,0
39.0,29.0,30.0,5700.0,2,33930.0,0,32261.220809672774,0,0,0,0,0,0,1,0
42.0,15.0,25.0,1400.0,2,15750.0,0,17840.29452154823,0,0,0,0,1,0,0,0
16.0,11.0,4.0,1000.0,3,704.0,0,600.0641990243925,0,1,0,0,0,0,0,0
40.0,40.0,8.0,900.0,2,12800.0,0,13210.93760982825,0,0,0,0,1,0,0,0
18.0,13.0,8.0,200.0,2,1872.0,0,2137.8531240410693,0,0,0,0,0,0,1,0
50.0,21.0,21.0,7050.0,1,22050.0,0,25541.925689169046,0,0,0,0,0,1,0,0
19.0,19.0,20.0,725.0,1,7220.0,0,6284.104614951579,0,0,0,0,1,0,0,0
28.0,14.0,10.0,2600.0,3,3920.0,0,3886.808972377194,0,0,0,0,0,0,0,1
51.0,51.0,11.0,4150.0,1,28611.0,0,30157.24678226551,0,0,1,0,0,0,0,0
35.0,25.0,8.0,600.0,3,7000.0,0,6378.059393128954,0,0,0,0,0,0,1,0
18.0,20.0,7.0,300.0,1,2520.0,0,3000.7659085656364,1,0,0,0,0,0,0,0
50.0,44.0,16.0,1200.0,2,35200.0,0,30693.253922670843,0,0,1,0,0,0,0,0
25.0,20.0,12.0,300.0,1,6000.0,0,6928.54386579027,0,0,0,0,1,0,0,0
50.0,25.0,3.0,400.0,1,3750.0,0,4098.061952202108,0,0,0,1,0,0,0,0
20.0,18.0,18.0,550.0,2,6480.0,0,6000.018598396134,0,0,0,0,0,0,1,0
31.0,26.0,20.0,1100.0,3,16120.0,0,15160.454194643551,0,0,0,0,1,0,0,0
30.0,18.0,10.0,250.0,1,5400.0,0,5814.276404690931,0,0,0,0,1,0,0,0
66.0,66.0,43.0,22625.0,3,187308.0,0,156860.38110607606,0,0,0,0,1,0,0,0
20.0,16.0,12.0,553.0,1,3840.0,0,3651.6216354534254,0,0,0,0,0,0,0,1
53.0,53.0,15.0,400.0,3,42135.0,0,45970.40217676474,0,0,1,0,0,0,0,0
45.0,15.0,10.0,1100.0,1,6750.0,0,7581.487909178714,0,0,0,1,0,0,0,0
46.0,26.0,14.0,2075.0,3,16744.0,0,15028.58504186372,0,0,0,0,0,0,0,1
16.0,16.0,16.0,500.0,2,4096.0,0,3849.624191972733,0,0,0,1,0,0,0,0
20.0,15.0,5.0,200.0,3,1500.0,0,1214.1863016761936,1,0,0,0,0,0,0,0
16.0,12.0,4.0,250.0,1,768.0,0,658.640197329948,0,0,0,0,0,0,1,0
35.0,35.0,10.0,2750.0,1,12250.0,0,11479.356521864196,0,0,0,0,1,0,0,0
38.0,22.0,2.0,150.0,3,1672.0,0,1715.7867835668555,0,0,1,0,0,0,0,0
16.0,14.0,13.0,700.0,3,2912.0,0,2504.9433190289787,1,0,0,0,0,0,0,0
25.0,25.0,25.0,2900.0,2,15625.0,0,16216.647905385695,1,0,0,0,0,0,0,0
60.0,50.0,10.0,700.0,2,30000.0,0,26046.918271625633,0,0,0,0,1,0,0,0
47.0,35.0,14.0,1900.0,3,23030.0,0,26737.907920922178,0,0,0,0,0,1,0,0
16.0,11.0,10.0,400.0,2,1760.0,0,1894.6358317968368,0,0,0,0,0,1,0,0
30.0,40.0,35.0,900.0,1,42000.0,0,39291.07072717101,0,0,0,0,1,0,0,0
50.0,36.0,9.0,850.0,1,16200.0,0,18449.386887067194,0,0,1,0,0,0,0,0
21.0,25.0,31.0,1900.0,3,16275.0,0,19005.44233218645,0,0,0,0,0,1,0,0
16.0,16.0,10.0,1250.0,1,2560.0,0,2464.778622329582,0,0,0,0,1,0,0,0
16.0,20.0,10.0,200.0,2,3200.0,0,2884.5981778879823,0,1,0,0,0,0,0,0
16.0,15.0,18.0,350.0,2,4320.0,0,4133.108493898642,0,0,0,0,0,1,0,0
16.0,26.0,29.0,300.0,3,12064.0,0,13278.004187866134,0,0,0,0,0,1,0,0
36.0,29.0,7.0,1900.0,2,7308.0,0,6912.42791831609,0,0,1,0,0,0,0,0
19.0,11.0,4.0,150.0,3,836.0,0,762.459413072134,0,0,0,0,1,0,0,0
105.0,70.0,3.0,1900.0,3,22050.0,0,20799.766108602384,0,0,1,0,0,0,0,0
16.0,15.0,16.0,1250.0,3,3840.0,0,4479.345198193861,0,0,0,0,0,0,1,0
19.0,13.0,13.0,450.0,3,3211.0,0,2992.95509902374,0,0,1,0,0,0,0,0
16.0,16.0,20.0,1050.0,2,5120.0,0,5609.862486814017,0,0,1,0,0,0,0,0
39.0,40.0,16.0,1650.0,2,24960.0,0,24166.540470781852,0,0,0,0,1,0,0,0
27.0,20.0,8.0,667.0,3,4320.0,0,4119.443970758765,1,0,0,0,0,0,0,0
45.0,25.0,20.0,900.0,1,22500.0,0,21783.75477160055,0,0,0,1,0,0,0,0
36.0,20.0,9.0,1000.0,1,6480.0,0,7739.291722829458,0,0,0,0,1,0,0,0
50.0,30.0,28.0,4317.0,2,42000.0,0,38661.06782912813,0,0,0,0,0,0,0,1
22.0,16.0,16.0,400.0,3,5632.0,0,4627.314785484508,0,0,0,0,0,1,0,0
16.0,11.0,3.0,50.0,2,528.0,0,583.2232825400714,0,0,0,0,0,0,1,0
16.0,25.0,38.0,725.0,3,15200.0,0,16951.389044861346,0,0,0,0,0,0,1,0
16.0,13.0,36.0,850.0,1,7488.0,0,7272.472218741682,0,0,0,0,1,0,0,0
61.0,61.0,13.0,8400.0,3,48373.0,0,42690.17371673304,0,0,1,0,0,0,0,0
19.0,11.0,3.0,100.0,3,627.0,0,666.4737444033201,0,0,0,0,0,0,0,1
34.0,27.0,10.0,900.0,1,9180.0,0,9385.531299284592,0,0,0,0,1,0,0,0
18.0,18.0,32.0,6200.0,1,10368.0,0,9659.552383798695,0,1,0,0,0,0,0,0
81.0,17.0,35.0,23700.0,3,48195.0,0,39743.86598074743,0,0,0,0,1,0,0,0
17.0,11.0,24.0,600.0,2,4488.0,0,5079.699071884754,0,0,0,0,0,1,0,0
21.0,17.0,11.0,300.0,1,3927.0,0,4109.751881793537,0,1,0,0,0,0,0,0
20.0,15.0,15.0,200.0,1,4500.0,0,4820.1212209120495,0,0,1,0,0,0,0,0
63.0,63.0,9.0,1675.0,2,35721.0,0,38555.226147753856,0,0,0,0,1,0,0,0
30.0,30.0,28.0,2500.0,1,25200.0,0,25076.086178805712,1,0,0,0,0,0,0,0
24.0,14.0,7.0,350.0,1,2352.0,0,2073.5942059686886,0,0,0,0,0,0,1,0
36.0,31.0,31.0,5800.0,2,34596.0,0,34066.869399517454,0,0,0,1,0,0,0,0
25.0,15.0,2.0,100.0,2,750.0,0,616.3471576608845,0,0,1,0,0,0,0,0
25.0,20.0,3.0,100.0,3,1500.0,0,1735.4536268420613,0,0,0,0,0,0,0,1
16.0,15.0,15.0,200.0,2,3600.0,0,4018.642545722899,0,0,0,1,0,0,0,0
24.0,11.0,5.0,150.0,3,1320.0,0,1524.336982850967,1,0,0,0,0,0,0,0
25.0,13.0,10.0,200.0,1,3250.0,0,3246.089086817627,0,0,0,1,0,0,0,0
57.0,22.0,55.0,11575.0,3,68970.0,0,80838.00190492501,0,1,0,0,0,0,0,0
16.0,11.0,2.0,200.0,1,352.0,0,301.8145687836591,0,0,0,0,0,0,1,0
20.0,20.0,20.0,10150.0,2,8000.0,0,9166.363978565729,0,0,0,0,0,0,0,1
16.0,11.0,9.0,550.0,2,1584.0,0,1795.6865333795533,0,0,1,0,0,0,0,0
69.0,11.0,11.0,2900.0,2,8349.0,0,7181.7697287799165,0,0,0,0,0,0,0,1
19.0,50.0,40.0,6550.0,1,38000.0,0,36847.916676729,0,0,0,0,0,1,0,0
16.0,11.0,13.0,200.0,3,2288.0,0,2211.910959703593,0,0,0,0,1,0,0,0
40.0,30.0,30.0,6050.0,2,36000.0,0,42476.30074484944,0,1,0,0,0,0,0,0
43.0,33.0,10.0,1975.0,3,14190.0,0,12334.836309322054,0,0,0,0,0,1,0,0
18.0,22.0,24.0,1000.0,2,9504.0,0,9635.426036868052,0,0,0,0,1,0,0,0
22.0,15.0,13.0,150.0,3,4290.0,0,4743.620994379349,0,0,0,0,0,1,0,0
40.0,25.0,15.0,1600.0,2,15000.0,0,15572.877895759424,0,0,1,0,0,0,0,0
16.0,14.0,17.0,500.0,1,3808.0,0,3869.5918230309876,0,0,0,0,0,0,1,0
17.0,11.0,12.0,175.0,2,2244.0,0,1855.2891181022976,0,1,0,0,0,0,0,0
16.0,25.0,16.0,1250.0,2,6400.0,0,6388.998015062995,0,0,0,0,0,0,1,0
20.0,22.0,15.0,651.0,2,6600.0,0,7522.476677375799,0,0,0,0,0,1,0,0
30.0,30.0,30.0,1800.0,1,27000.0,0,24257.31967327993,0,0,0,0,1,0,0,0
35.0,35.0,10.0,1400.0,1,12250.0,0,11759.032269869542,0,0,1,0,0,0,0,0
28.0,28.0,28.0,250.0,3,21952.0,0,22277.127740587755,1,0,0,0,0,0,0,0
23.0,19.0,8.0,675.0,1,3496.0,0,3771.6971898949673,0,0,0,0,0,0,0,1
16.0,11.0,2.0,450.0,2,352.0,0,395.543889952523,0,1,0,0,0,0,0,0
35.0,36.0,8.0,900.0,3,10080.0,0,10413.7733165425,0,1,0,0,0,0,0,0
16.0,11.0,5.0,200.0,1,880.0,0,923.4346628304532,0,0,0,0,0,1,0,0
40.0,30.0,4.0,800.0,2,4800.0,0,4307.470097725083,1,0,0,0,0,0,0,0
62.0,32.0,5.0,5250.0,3,9920.0,0,9238.306733881056,0,0,0,0,0,1,0,0
25.0,16.0,5.0,150.0,3,2000.0,0,2014.2165201356934,0,0,0,0,0,0,1,0
30.0,18.0,8.0,325.0,3,4320.0,0,4371.06606781943,0,1,0,0,0,0,0,0
22.0,14.0,7.0,125.0,2,2156.0,0,1991.5851186084608,0,0,1,0,0,0,0,0
36.0,32.0,6.0,1363.0,2,6912.0,0,6021.448423459562,0,0,0,0,0,0,1,0
40.0,30.0,25.0,4850.0,3,30000.0,0,29750.363511844556,0,0,0,0,0,0,0,1
25.0,25.0,33.0,1200.0,2,20625.0,0,20302.615526331763,0,0,1,0,0,0,0,0
16.0,11.0,2.0,300.0,2,352.0,0,419.78970447420363,0,0,1,0,0,0,0,0
18.0,14.0,8.0,400.0,3,2016.0,0,2251.4184350086025,0,0,0,0,0,0,1,0
56.0,49.0,37.0,4200.0,3,101528.0,0,98190.77020740886,0,1,0,0,0,0,0,0
40.0,30.0,25.0,5275.0,3,30000.0,0,28062.20742508056,0,0,1,0,0,0,0,0
25.0,18.0,8.0,200.0,3,3600.0,0,3188.3394741178813,0,0,0,1,0,0,0,0
35.0,20.0,46.0,2000.0,1,32200.0,0,34917.90856564056,0,0,0,0,0,0,1,0
32.0,21.0,9.0,1600.0,3,6048.0,0,6003.121780005582,0,0,1,0,0,0,0,0
30.0,17.0,20.0,1500.0,2,10200.0,0,11698.514967045316,1,0,0,0,0,0,0,0
25.0,25.0,25.0,900.0,2,15625.0,0,12724.110732125648,0,0,0,0,0,0,1,0
16.0,16.0,16.0,200.0,1,4096.0,0,3486.3074117603164,0,1,0,0,0,0,0,0
22.0,21.0,18.0,350.0,1,8316.0,0,6881.920820901352,0,0,1,0,0,0,0,0
26.0,26.0,7.0,2225.0,1,4732.0,0,4344.994116282639,0,0,1,0,0,0,0,0
23.0,25.0,8.0,500.0,3,4600.0,0,4122.188068143481,0,0,0,0,0,0,1,0
18.0,12.0,12.0,400.0,3,2592.0,0,3043.1443460646856,1,0,0,0,0,0,0,0
16.0,16.0,10.0,200.0,2,2560.0,0,2169.2056563969913,0,0,0,0,0,1,0,0
33.0,33.0,10.0,2650.0,1,10890.0,0,11582.126035692305,0,1,0,0,0,0,0,0
60.0,23.0,13.0,1300.0,1,17940.0,0,20440.575010848883,0,0,0,0,0,1,0,0
