length,width,height,bkwt,days_until_departure,bkvol,is_dmv,rcsvol,delta_vol,product_type_arm,product_type_avi,product_type_dgr,product_type_gen,product_type_hum,product_type_per,product_type_val,product_type_vun
16.0,14.0,10.0,225.0,1,2240.0,0,2218.2511796200815,-21,0,0,0,0,0,0,0,1
30.0,20.0,18.0,1000.0,1,10800.0,0,10536.229428773166,-263,0,0,1,0,0,0,0,0
18.0,15.0,9.0,154.0,2,2430.0,0,2171.411354346253,-258,0,0,0,0,1,0,0,0
26.0,26.0,4.0,371.0,3,2704.0,0,2195.361678908991,-508,0,0,0,0,0,0,0,1
20.0,13.0,17.0,625.0,3,4420.0,0,3992.9085659232032,-427,0,0,0,0,1,0,0,0
38.0,11.0,5.0,200.0,2,2090.0,0,1977.2263611494034,-112,0,0,1,0,0,0,0,0
70.0,44.0,24.0,18350.0,3,73920.0,0,73074.5897612781,-845,0,0,0,0,0,0,1,0
40.0,40.0,8.0,900.0,2,12800.0,0,13120.676768859952,320,0,0,0,1,0,0,0,0
27.0,17.0,13.0,400.0,3,5967.0,0,6797.5676087654165,830,0,0,0,0,0,1,0,0
17.0,12.0,10.0,600.0,3,2040.0,0,2333.880512615526,293,0,0,0,0,0,0,0,1
16.0,16.0,10.0,1100.0,1,2560.0,0,2589.5417551803903,29,0,0,0,0,1,0,0,0
50.0,45.0,19.0,7150.0,3,42750.0,0,46052.82160716434,3302,0,0,0,0,1,0,0,0
17.0,17.0,7.0,250.0,2,2023.0,0,2312.77601682389,289,0,0,0,1,0,0,0,0
68.0,13.0,11.0,600.0,1,9724.0,0,8745.470200215572,-978,0,0,0,0,0,0,0,1
17.0,17.0,7.0,200.0,2,2023.0,0,1775.664751799615,-247,0,0,0,0,0,0,1,0
16.0,11.0,2.0,800.0,1,352.0,0,399.572393912753,47,0,0,1,0,0,0,0,0
27.0,20.0,5.0,400.0,3,2700.0,0,2931.2352167137014,231,0,0,0,0,0,0,1,0
40.0,20.0,15.0,900.0,2,12000.0,1,5913.562802841596,-6086,0,0,1,0,0,0,0,0
100.0,15.0,7.0,1700.0,3,10500.0,0,11466.745908786601,966,1,0,0,0,0,0,0,0
16.0,16.0,10.0,500.0,2,2560.0,0,2675.906294754991,115,0,1,0,0,0,0,0,0
29.0,45.0,24.0,2550.0,1,31320.0,0,29789.70808981602,-1530,1,0,0,0,0,0,0,0
36.0,16.0,8.0,800.0,2,4608.0,0,5019.832443211422,411,0,0,0,0,0,0,0,1
21.0,13.0,7.0,75.0,1,1911.0,0,2028.4392504886855,117,0,1,0,0,0,0,0,0
20.0,13.0,13.0,500.0,2,3380.0,0,3849.6475108008353,469,0,0,0,0,0,1,0,0
40.0,30.0,10.0,1800.0,1,12000.0,1,19390.42939808361,7390,0,0,0,0,0,0,1,0
