length,width,height,bkwt,days_until_departure,bkvol,is_dmv,rcsvol,delta_vol,product_type_arm,product_type_avi,product_type_dgr,product_type_gen,product_type_hum,product_type_per,product_type_val,product_type_vun
65.0,25.0,25.0,4000.0,2,40625.0,0,35666.958759594156,-4958.041240405844,0,0,0,0,0,1,0,0
20.0,20.0,20.0,4350.0,3,8000.0,0,9236.69536382607,1236.6953638260693,0,0,0,0,0,1,0,0
16.0,11.0,10.0,650.0,1,1760.0,0,1794.35896679262,34.358966792620095,1,0,0,0,0,0,0,0
30.0,30.0,6.0,1900.0,3,5400.0,0,6449.138071245362,1049.138071245362,0,0,0,0,0,1,0,0
35.0,25.0,10.0,300.0,2,8750.0,0,8410.077464581233,-339.92253541876744,0,0,0,0,0,0,1,0
102.0,12.0,12.0,4500.0,2,14688.0,0,11955.175431596412,-2732.8245684035883,0,0,0,1,0,0,0,0
20.0,15.0,15.0,450.0,3,4500.0,0,3731.986010048613,-768.013989951387,0,0,0,0,0,1,0,0
16.0,16.0,10.0,1200.0,1,2560.0,0,3030.997835136809,470.99783513680904,0,0,0,0,0,0,0,1
19.0,22.0,17.0,1250.0,1,7106.0,0,5850.641631558648,-1255.3583684413516,0,0,0,0,1,0,0,0
20.0,20.0,20.0,1300.0,1,8000.0,0,9197.658677900428,1197.6586779004283,1,0,0,0,0,0,0,0
23.0,16.0,2.0,500.0,2,736.0,0,749.5201325916217,13.520132591621746,0,0,0,0,0,0,1,0
20.0,19.0,11.0,400.0,2,4180.0,0,4559.643825441344,379.64382544134423,0,0,0,0,0,0,1,0
16.0,16.0,20.0,1050.0,1,5120.0,0,4915.422673960356,-204.5773260396436,0,0,0,0,0,0,1,0
35.0,34.0,10.0,1000.0,3,11900.0,0,12349.355963128683,449.35596312868256,0,0,0,0,1,0,0,0
16.0,37.0,44.0,1400.0,2,26048.0,0,26665.45320765816,617.45320765816,0,0,0,0,0,0,0,1
27.0,26.0,9.0,200.0,2,6318.0,0,6778.810389405258,460.8103894052583,1,0,0,0,0,0,0,0
40.0,30.0,10.0,1800.0,3,12000.0,1,17583.417229051003,5583.417229051003,1,0,0,0,0,0,0,0
38.0,38.0,74.0,18600.0,1,106856.0,0,90564.53647052486,-16291.463529475135,0,0,0,0,0,0,1,0
20.0,20.0,20.0,300.0,3,8000.0,0,7532.973083757533,-467.02691624246745,0,0,0,0,1,0,0,0
40.0,30.0,10.0,2300.0,2,12000.0,1,13817.120056009902,1817.1200560099023,0,1,0,0,0,0,0,0
38.0,33.0,31.0,5903.0,1,38874.0,0,44700.768159335144,5826.768159335144,0,0,0,1,0,0,0,0
63.0,56.0,66.0,16400.0,2,232848.0,0,232254.92828539008,-593.0717146099196,0,1,0,0,0,0,0,0
20.0,17.0,17.0,400.0,2,5780.0,0,4670.102976813298,-1109.8970231867024,1,0,0,0,0,0,0,0
40.0,34.0,10.0,800.0,3,13600.0,0,11063.901703245598,-2536.0982967544023,0,0,0,0,0,0,1,0
25.0,20.0,20.0,100.0,3,10000.0,0,8669.309437904318,-1330.6905620956823,0,0,0,1,0,0,0,0
23.0,11.0,3.0,300.0,3,759.0,0,676.3799611219112,-82.62003887808885,0,0,0,0,0,1,0,0
18.0,15.0,9.0,553.0,2,2430.0,0,2263.767545871312,-166.232454128688,0,0,0,0,0,1,0,0
30.0,25.0,10.0,1000.0,1,7500.0,0,8661.66840134604,1161.66840134604,0,1,0,0,0,0,0,0
40.0,20.0,26.0,875.0,3,20800.0,0,18191.67608655552,-2608.323913444481,0,0,0,0,0,0,1,0
20.0,44.0,34.0,300.0,3,29920.0,0,24515.987250308382,-5404.0127496916175,0,0,0,0,0,0,1,0
31.0,16.0,16.0,683.0,2,7936.0,0,6873.549175560183,-1062.4508244398166,0,1,0,0,0,0,0,0
61.0,31.0,31.0,9900.0,1,58621.0,0,50453.858332140815,-8167.141667859185,0,0,1,0,0,0,0,0
36.0,19.0,30.0,2300.0,3,20520.0,0,19769.00243488901,-750.997565110989,0,0,0,0,0,0,1,0
16.0,12.0,16.0,500.0,1,3072.0,0,3644.2547166894856,572.2547166894856,0,1,0,0,0,0,0,0
16.0,16.0,10.0,350.0,3,2560.0,0,2586.9406872698028,26.940687269802766,1,0,0,0,0,0,0,0
16.0,15.0,21.0,400.0,1,5040.0,0,4142.365762453659,-897.634237546341,1,0,0,0,0,0,0,0
35.0,15.0,6.0,400.0,1,3150.0,0,2590.1738911517864,-559.8261088482136,1,0,0,0,0,0,0,0
20.0,13.0,8.0,150.0,2,2080.0,0,2262.5206424281496,182.52064242814959,0,0,0,0,0,0,1,0
18.0,18.0,18.0,400.0,2,5832.0,0,4817.525022438367,-1014.4749775616328,0,0,0,0,0,0,1,0
38.0,26.0,26.0,400.0,3,25688.0,0,22622.351466393244,-3065.6485336067562,0,0,0,0,0,0,0,1
16.0,16.0,10.0,1100.0,3,2560.0,0,2484.2749667687945,-75.72503323120554,0,0,0,0,1,0,0,0
23.0,17.0,30.0,1635.0,2,11730.0,0,9646.82804947277,-2083.1719505272304,0,0,0,0,1,0,0,0
40.0,40.0,15.0,400.0,2,24000.0,0,23768.108109301204,-231.8918906987965,1,0,0,0,0,0,0,0
20.0,50.0,40.0,650.0,2,40000.0,0,44770.87865349224,4770.87865349224,0,0,0,0,0,0,0,1
20.0,20.0,12.0,250.0,3,4800.0,0,4107.693530281096,-692.3064697189038,1,0,0,0,0,0,0,0
28.0,15.0,8.0,2000.0,1,3360.0,0,3325.2563210699077,-34.7436789300923,0,0,0,0,1,0,0,0
45.0,31.0,10.0,700.0,2,13950.0,0,12475.295664087163,-1474.7043359128365,0,0,0,0,0,0,0,1
16.0,11.0,11.0,300.0,1,1936.0,0,2246.30002082876,310.3000208287599,0,0,0,0,0,0,1,0
16.0,16.0,16.0,200.0,3,4096.0,0,4522.451704663166,426.4517046631663,0,1,0,0,0,0,0,0
24.0,20.0,12.0,125.0,1,5760.0,0,5485.029870287671,-274.97012971232925,1,0,0,0,0,0,0,0
20.0,20.0,20.0,350.0,3,8000.0,0,9336.81900326455,1336.8190032645507,0,1,0,0,0,0,0,0
19.0,20.0,13.0,500.0,2,4940.0,0,5289.457649566431,349.4576495664314,0,0,0,0,1,0,0,0
33.0,19.0,44.0,1650.0,2,27588.0,0,24929.93696405271,-2658.063035947289,0,0,1,0,0,0,0,0
26.0,40.0,60.0,13600.0,1,62400.0,0,69759.94986932416,7359.949869324162,0,0,0,0,0,0,1,0
30.0,40.0,20.0,300.0,2,24000.0,0,24952.74351410153,952.7435141015303,0,0,1,0,0,0,0,0
16.0,16.0,10.0,1250.0,1,2560.0,0,2236.556695761792,-323.44330423820793,1,0,0,0,0,0,0,0
16.0,16.0,5.0,450.0,2,1280.0,0,1103.0019173640558,-176.99808263594423,0,0,0,0,0,1,0,0
31.0,21.0,12.0,975.0,3,7812.0,0,8444.261857179023,632.2618571790226,0,0,0,0,1,0,0,0
16.0,11.0,2.0,200.0,1,352.0,0,346.08557204729465,-5.914427952705353,0,0,1,0,0,0,0,0
