product_name,product_qty,product_weight_kg,product_volume_m,DMV_Flag
perfumaria,1.0,0.225,0.00224,1
artes,1.0,1.0,0.0108,1
esporte_lazer,1.0,0.154,0.00243,1
bebes,1.0,0.371,0.002704,1
utilidades_domesticas,4.0,0.625,0.00442,1
instrumentos_musicais,1.0,0.2,0.00209,1
cool_stuff,4.0,18.35,0.07392,1
moveis_decoracao,2.0,0.9,0.0128,1
eletrodomesticos,1.0,0.4,0.005967,1
brinquedos,1.0,0.6,0.00204,1
cama_mesa_banho,1.0,1.1,0.00256,1
bebes,4.0,7.15,0.04275,1
instrumentos_musicais,3.0,0.25,0.002023,1
moveis_decoracao,2.0,0.6,0.009724,1
construcao_ferramentas_seguranca,4.0,0.2,0.002023,1
esporte_lazer,1.0,0.8,0.000352,1
perfumaria,2.0,0.4,0.0027,1
informatica_acessorios,1.0,0.9,0.012,1
moveis_decoracao,2.0,1.7,0.0105,1
cama_mesa_banho,1.0,0.5,0.00256,1
moveis_decoracao,4.0,2.55,0.03132,1
cama_mesa_banho,2.0,0.8,0.004608,1
beleza_saude,3.0,0.075,0.001911,1
bebes,1.0,0.5,0.0033799999999999998,1
moveis_decoracao,1.0,1.8,0.012,1
utilidades_domesticas,1.0,0.9,0.0125,1
malas_acessorios,5.0,3.6,0.04375,1
informatica_acessorios,2.0,0.3,0.00252,1
informatica_acessorios,2.0,0.74,0.003887,1
esporte_lazer,2.0,3.6,0.032798,1
cama_mesa_banho,1.0,0.65,0.00256,1
ferramentas_jardim,9.0,2.15,0.01904,1
moveis_decoracao,1.0,0.8,0.0136,1
moveis_escritorio,1.0,8.95,0.045084,1
esporte_lazer,4.0,1.388,0.009486,1
bebes,9.0,7.95,0.04356,1
automotivo,2.0,6.0,0.010962,1
eletronicos,1.0,0.263,0.003456,1
utilidades_domesticas,1.0,3.9,0.0057,1
moveis_decoracao,1.0,0.6,0.015625,1
moveis_decoracao,2.0,2.05,0.026117,1
brinquedos,2.0,0.725,0.00561,1
cama_mesa_banho,4.0,6.35,0.023625,1
bebes,4.0,0.6,0.00847,1
cool_stuff,2.0,11.75,0.05687999999999999,1
brinquedos,3.0,2.55,0.026752,1
cool_stuff,3.0,15.35,0.08836,1
moveis_decoracao,2.0,1.3,0.01,1
moveis_decoracao,2.0,0.85,0.008349,1
beleza_saude,1.0,1.3,0.009044,1
esporte_lazer,5.0,4.8,0.027,1
cool_stuff,2.0,1.3,0.013824,1
automotivo,1.0,0.22,0.004284,1
bebes,4.0,5.7,0.034153,1
malas_acessorios,2.0,0.45,0.024,1
fashion_calcados,2.0,2.0,0.014208000000000002,1
telefonia,2.0,0.1,0.000627,1
cool_stuff,1.0,1.1,0.0138,1
papelaria,3.0,1.4,0.05927999999999999,1
brinquedos,4.0,0.25,0.00336,1
esporte_lazer,1.0,1.05,0.007,1
papelaria,1.0,0.5,0.002688,1
beleza_saude,1.0,1.467,0.007359999999999999,1
fashion_bolsas_e_acessorios,3.0,0.1,0.0008800000000000001,1
papelaria,1.0,0.1,0.00128,1
papelaria,2.0,0.3,0.002415,1
esporte_lazer,2.0,0.95,0.0135,1
ferramentas_jardim,1.0,0.25,0.000561,1
pcs,1.0,12.0,0.07155,1
automotivo,6.0,0.921,0.002448,1
casa_construcao,1.0,10.0,0.0375,1
relogios_presentes,2.0,0.25,0.001936,1
cool_stuff,3.0,1.2,0.0176,1
construcao_ferramentas_construcao,1.0,4.8,0.005,1
pet_shop,1.0,0.7,0.016,1
beleza_saude,3.0,1.05,0.010206,1
eletroportateis,3.0,0.35,0.008,1
perfumaria,1.0,0.422,0.006048,1
relogios_presentes,1.0,0.317,0.003952000000000001,1
agro_industria_e_comercio,1.0,16.4,0.232848,1
beleza_saude,1.0,0.938,0.014674,1
beleza_saude,1.0,2.7,0.010416,1
cama_mesa_banho,1.0,1.75,0.0162,1
ferramentas_jardim,1.0,3.85,0.008352,1
perfumaria,2.0,0.267,0.003757,1
instrumentos_musicais,3.0,16.2,0.088,1
cama_mesa_banho,2.0,1.4,0.009234,1
cama_mesa_banho,1.0,6.45,0.011,1
moveis_decoracao,3.0,2.3,0.02205,1
informatica_acessorios,2.0,0.3,0.0036,1
esporte_lazer,1.0,0.6,0.006,1
beleza_saude,1.0,3.6,0.008,1
beleza_saude,6.0,0.15,0.01584,1
esporte_lazer,4.0,0.4,0.000704,1
telefonia,1.0,0.1,0.001188,1
moveis_decoracao,2.0,0.8,0.00848,1
automotivo,6.0,5.25,0.020539,1
automotivo,1.0,0.2,0.00364,1
relogios_presentes,2.0,0.335,0.002244,1
cama_mesa_banho,1.0,1.3,0.0072,1
moveis_decoracao,3.0,0.15,0.00175,1
informatica_acessorios,3.0,0.367,0.000704,1
relogios_presentes,4.0,0.25,0.000352,1
moveis_decoracao,1.0,8.5,0.103125,1
bebes,1.0,2.15,0.01575,1
,,0.65,0.002856,1
esporte_lazer,4.0,0.15,0.0008800000000000001,1
cama_mesa_banho,1.0,0.65,0.00594,1
eletroportateis,4.0,2.7,0.01664,1
utilidades_domesticas,1.0,1.2,0.008095999999999999,1
moveis_sala,2.0,6.05,0.0253,1
esporte_lazer,1.0,0.15,0.001056,1
casa_construcao,6.0,1.05,0.00512,1
pet_shop,1.0,1.35,0.00483,1
utilidades_domesticas,1.0,0.6,0.004104,1
moveis_decoracao,1.0,1.0,0.00972,1
cama_mesa_banho,2.0,1.55,0.011352,1
cama_mesa_banho,1.0,2.7,0.020475,1
telefonia,9.0,0.2,0.001045,1
malas_acessorios,1.0,0.8,0.008512,1
perfumaria,3.0,0.377,0.00351,1
esporte_lazer,3.0,0.4,0.04257,1
sinalizacao_e_seguranca,1.0,0.45,0.00128,1
climatizacao,1.0,2.0,0.026112,1
fashion_bolsas_e_acessorios,1.0,0.3,0.000352,1
moveis_decoracao,1.0,0.25,0.005096,1
esporte_lazer,2.0,1.95,0.0135,1
telefonia,2.0,0.5,0.00264,1
,,0.3,0.00224,1
artes,6.0,7.9,0.0735,1
cama_mesa_banho,2.0,1.8,0.012546,1
ferramentas_jardim,1.0,0.9,0.002553,1
fashion_bolsas_e_acessorios,7.0,0.2,0.000352,1
bebes,4.0,4.5,0.1568,1
consoles_games,3.0,0.25,0.002205,1
utilidades_domesticas,1.0,0.55,0.0048,1
malas_acessorios,4.0,1.1,0.013104,1
cama_mesa_banho,1.0,3.6,0.032,1
consoles_games,1.0,0.1,0.000528,1
esporte_lazer,2.0,0.15,0.004608,1
esporte_lazer,1.0,3.775,0.003744,1
cool_stuff,2.0,1.4,0.01,1
consoles_games,5.0,0.9,0.002772,1
relogios_presentes,2.0,0.25,0.0048,1
brinquedos,1.0,0.35,0.003024,1
,,0.2,0.008,1
bebes,3.0,1.8,0.015552000000000002,1
moveis_sala,2.0,5.05,0.02,1
automotivo,1.0,27.1,0.125,1
