[ 2025-08-03 02:24:16,417 ] 74 dagshub.auth.tokens - INFO - Removed expired tokens from the token cache
[ 2025-08-03 02:24:25,404 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-08-03 02:24:25,821 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-08-03 02:24:26,548 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-08-03 02:24:26,552 ] 107 dagshub - INFO - Accessing as Locvh
[ 2025-08-03 02:24:26,993 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Locvh/API_ML_2 "HTTP/1.1 200 OK"
[ 2025-08-03 02:24:27,410 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-08-03 02:24:27,412 ] 107 dagshub - INFO - Initialized MLflow to track repo "Locvh/API_ML_2"
[ 2025-08-03 02:24:27,413 ] 107 dagshub - INFO - Repository Locvh/API_ML_2 initialized!
[ 2025-08-03 02:24:27,413 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-03 02:25:10,339 ] 130 root - INFO - Performed train test split on the dataframe
[ 2025-08-03 02:25:10,339 ] 132 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-03 02:25:10,339 ] 140 root - INFO - Exporting train and test file path.
[ 2025-08-03 02:25:10,343 ] 149 root - INFO - Exported train and test file path.
[ 2025-08-03 02:25:10,343 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-03 02:25:10,346 ] 29 root - INFO - Initiate the data Validation
[ 2025-08-03 02:25:10,348 ] 32 root - INFO - Required number of columns:2
[ 2025-08-03 02:25:10,348 ] 33 root - INFO - Data frame has columns:18
[ 2025-08-03 02:25:10,348 ] 32 root - INFO - Required number of columns:2
[ 2025-08-03 02:25:10,348 ] 33 root - INFO - Data frame has columns:18
[ 2025-08-03 02:25:10,360 ] 31 root - INFO - data Validation Completed
[ 2025-08-03 02:25:10,360 ] 37 root - INFO - data Transformation started
[ 2025-08-03 02:25:10,360 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-03 02:25:10,360 ] 65 root - INFO - Starting data transformation
[ 2025-08-03 02:25:10,362 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-03 02:25:10,362 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-03 02:25:10,365 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-03 02:25:10,366 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-03 02:25:10,366 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-03 02:25:10,367 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-03 02:25:10,367 ] 40 root - INFO - data Transformation completed
[ 2025-08-03 02:25:10,367 ] 43 root - INFO - Model Training sstared
